bin_index,bad_r_ch1,bad_r_ch2,bad_r_ch3,ppg_issue,ppg_issue_text,p_begin_ch1,p_begin_ch2,p_begin_ch3,q_begin_ch1,q_begin_ch2,q_begin_ch3,t_begin_ch1,t_begin_ch2,t_begin_ch3,t_end_ch1,t_end_ch2,t_end_ch3,ppg_onset,ppg_peak,ppg_dicrotic,ppg_50,ppg_end,p_begin_ch1_sec,p_begin_ch2_sec,p_begin_ch3_sec,q_begin_ch1_sec,q_begin_ch2_sec,q_begin_ch3_sec,t_begin_ch1_sec,t_begin_ch2_sec,t_begin_ch3_sec,t_end_ch1_sec,t_end_ch2_sec,t_end_ch3_sec,ppg_onset_sec,ppg_peak_sec,ppg_dicrotic_sec,ppg_50_sec,ppg_end_sec
47,0,1,1,0,ok,59,,,107,,,318,,,469,,,5,172,801,86,804,0.059,,,0.107,,,0.318,,,0.469,,,0.005,0.172,0.801,0.086,0.804
48,0,1,1,0,ok,59,,,121,,,299,,,509,,,5,177,852,87,855,0.059,,,0.121,,,0.299,,,0.509,,,0.005,0.177,0.852,0.087,0.855
49,0,1,1,0,ok,55,,,117,,,324,,,316,,,5,183,855,91,864,0.055,,,0.117,,,0.324,,,0.316,,,0.005,0.183,0.855,0.091,0.864
50,0,1,1,0,ok,60,,,121,,,316,,,504,,,10,196,853,91,859,0.06,,,0.121,,,0.316,,,0.504,,,0.01,0.196,0.853,0.091,0.859
51,0,1,1,0,ok,63,,,118,,,331,,,350,,,5,893,898,90,910,0.063,,,0.118,,,0.331,,,0.35,,,0.005,0.893,0.898,0.09,0.91
52,0,1,1,0,ok,50,,,107,,,312,,,475,,,15,230,709,94,717,0.05,,,0.107,,,0.312,,,0.475,,,0.015,0.23,0.709,0.094,0.717
53,0,1,1,0,ok,47,,,108,,,300,,,474,,,4,228,750,91,820,0.047,,,0.108,,,0.3,,,0.474,,,0.004,0.228,0.75,0.091,0.82
54,0,1,1,0,ok,56,,,117,,,311,,,502,,,5,223,801,90,804,0.056,,,0.117,,,0.311,,,0.502,,,0.005,0.223,0.801,0.09,0.804
55,0,1,1,0,ok,57,,,119,,,311,,,504,,,3,221,812,90,815,0.057,,,0.119,,,0.311,,,0.504,,,0.003,0.221,0.812,0.09,0.815
56,0,1,1,0,ok,59,,,121,,,306,,,334,,,5,214,846,89,854,0.059,,,0.121,,,0.306,,,0.334,,,0.005,0.214,0.846,0.089,0.854
57,0,1,1,0,ok,61,,,123,,,322,,,335,,,4,215,795,89,803,0.061,,,0.123,,,0.322,,,0.335,,,0.004,0.215,0.795,0.089,0.803
58,0,1,1,0,ok,60,,,121,,,311,,,330,,,5,221,776,93,789,0.06,,,0.121,,,0.311,,,0.33,,,0.005,0.221,0.776,0.093,0.789
59,0,1,1,0,ok,61,,,123,,,320,,,337,,,5,224,760,92,805,0.061,,,0.123,,,0.32,,,0.337,,,0.005,0.224,0.76,0.092,0.805
60,0,1,1,0,ok,50,,,110,,,248,,,256,,,8,222,728,92,756,0.05,,,0.11,,,0.248,,,0.256,,,0.008,0.222,0.728,0.092,0.756
61,0,1,1,0,ok,52,,,112,,,313,,,322,,,4,225,769,87,778,0.052,,,0.112,,,0.313,,,0.322,,,0.004,0.225,0.769,0.087,0.778
62,0,1,1,0,ok,48,,,107,,,301,,,337,,,9,220,799,83,806,0.048,,,0.107,,,0.301,,,0.337,,,0.009,0.22,0.799,0.083,0.806
63,0,1,1,0,ok,55,,,114,,,298,,,494,,,14,229,828,86,840,0.055,,,0.114,,,0.298,,,0.494,,,0.014,0.229,0.828,0.086,0.84
64,0,1,1,0,ok,57,,,115,,,308,,,482,,,5,233,832,88,834,0.057,,,0.115,,,0.308,,,0.482,,,0.005,0.233,0.832,0.088,0.834
65,0,1,1,0,ok,55,,,118,,,316,,,337,,,2,233,836,87,859,0.055,,,0.118,,,0.316,,,0.337,,,0.002,0.233,0.836,0.087,0.859
66,0,1,1,0,ok,58,,,117,,,327,,,341,,,5,213,827,84,837,0.058,,,0.117,,,0.327,,,0.341,,,0.005,0.213,0.827,0.084,0.837
67,0,1,1,0,ok,57,,,122,,,309,,,337,,,5,212,849,86,859,0.057,,,0.122,,,0.309,,,0.337,,,0.005,0.212,0.849,0.086,0.859
68,0,1,1,0,ok,54,,,113,,,315,,,319,,,8,212,800,86,844,0.054,,,0.113,,,0.315,,,0.319,,,0.008,0.212,0.8,0.086,0.844
69,0,1,1,0,ok,54,,,114,,,304,,,314,,,8,211,794,85,799,0.054,,,0.114,,,0.304,,,0.314,,,0.008,0.211,0.794,0.085,0.799
70,0,1,1,0,ok,41,,,98,,,272,,,298,,,21,217,837,89,840,0.041,,,0.098,,,0.272,,,0.298,,,0.021,0.217,0.837,0.089,0.84
71,0,1,1,0,ok,62,,,124,,,324,,,314,,,1,223,860,92,863,0.062,,,0.124,,,0.324,,,0.314,,,0.001,0.223,0.86,0.092,0.863
72,0,1,1,0,ok,60,,,123,,,341,,,479,,,5,219,791,90,795,0.06,,,0.123,,,0.341,,,0.479,,,0.005,0.219,0.791,0.09,0.795
73,0,1,1,0,ok,60,,,119,,,322,,,319,,,1,220,757,92,761,0.06,,,0.119,,,0.322,,,0.319,,,0.001,0.22,0.757,0.092,0.761
74,0,1,1,0,ok,49,,,104,,,290,,,306,,,3,256,823,91,826,0.049,,,0.104,,,0.29,,,0.306,,,0.003,0.256,0.823,0.091,0.826
75,0,1,1,0,ok,65,,,125,,,325,,,345,,,3,274,829,101,841,0.065,,,0.125,,,0.325,,,0.345,,,0.003,0.274,0.829,0.101,0.841
76,0,1,1,0,ok,65,,,127,,,324,,,355,,,5,272,920,103,932,0.065,,,0.127,,,0.324,,,0.355,,,0.005,0.272,0.92,0.103,0.932
77,0,1,1,0,ok,63,,,127,,,344,,,353,,,5,284,862,101,902,0.063,,,0.127,,,0.344,,,0.353,,,0.005,0.284,0.862,0.101,0.902
78,0,1,1,0,ok,69,,,131,,,340,,,311,,,1,267,858,96,920,0.069,,,0.131,,,0.34,,,0.311,,,0.001,0.267,0.858,0.096,0.92
79,0,1,1,0,ok,33,,,53,,,305,,,378,,,5,249,800,93,807,0.033,,,0.053,,,0.305,,,0.378,,,0.005,0.249,0.8,0.093,0.807
80,0,1,1,0,ok,63,,,118,,,330,,,339,,,7,257,879,94,902,0.063,,,0.118,,,0.33,,,0.339,,,0.007,0.257,0.879,0.094,0.902
81,0,1,1,0,ok,64,,,123,,,321,,,505,,,5,270,874,92,888,0.064,,,0.123,,,0.321,,,0.505,,,0.005,0.27,0.874,0.092,0.888
82,0,1,1,0,ok,72,,,137,,,350,,,361,,,5,269,854,95,858,0.072,,,0.137,,,0.35,,,0.361,,,0.005,0.269,0.854,0.095,0.858
83,0,1,1,0,ok,67,,,123,,,339,,,321,,,5,264,875,96,906,0.067,,,0.123,,,0.339,,,0.321,,,0.005,0.264,0.875,0.096,0.906
84,0,1,1,0,ok,67,,,120,,,314,,,322,,,2,264,873,96,924,0.067,,,0.12,,,0.314,,,0.322,,,0.002,0.264,0.873,0.096,0.924
85,0,1,1,0,ok,67,,,129,,,350,,,498,,,5,262,891,95,904,0.067,,,0.129,,,0.35,,,0.498,,,0.005,0.262,0.891,0.095,0.904
86,0,1,1,0,ok,69,,,127,,,343,,,507,,,1,268,875,94,904,0.069,,,0.127,,,0.343,,,0.507,,,0.001,0.268,0.875,0.094,0.904
87,0,1,1,0,ok,68,,,129,,,344,,,516,,,5,273,886,94,891,0.068,,,0.129,,,0.344,,,0.516,,,0.005,0.273,0.886,0.094,0.891
88,0,1,1,0,ok,57,,,119,,,325,,,332,,,5,240,850,89,856,0.057,,,0.119,,,0.325,,,0.332,,,0.005,0.24,0.85,0.089,0.856
89,0,1,1,0,ok,54,,,117,,,290,,,472,,,1,230,780,88,792,0.054,,,0.117,,,0.29,,,0.472,,,0.001,0.23,0.78,0.088,0.792
90,0,1,1,0,ok,54,,,118,,,316,,,483,,,1,211,802,82,805,0.054,,,0.118,,,0.316,,,0.483,,,0.001,0.211,0.802,0.082,0.805
91,0,1,1,0,ok,44,,,104,,,297,,,307,,,13,214,821,87,826,0.044,,,0.104,,,0.297,,,0.307,,,0.013,0.214,0.821,0.087,0.826
92,0,1,1,0,ok,64,,,123,,,316,,,325,,,1,218,843,88,850,0.064,,,0.123,,,0.316,,,0.325,,,0.001,0.218,0.843,0.088,0.85
93,0,1,1,0,ok,63,,,122,,,315,,,493,,,5,225,872,89,875,0.063,,,0.122,,,0.315,,,0.493,,,0.005,0.225,0.872,0.089,0.875
94,0,1,1,0,ok,63,,,133,,,299,,,303,,,1,210,842,88,898,0.063,,,0.133,,,0.299,,,0.303,,,0.001,0.21,0.842,0.088,0.898
95,0,1,1,0,ok,62,,,123,,,319,,,481,,,1,227,845,92,891,0.062,,,0.123,,,0.319,,,0.481,,,0.001,0.227,0.845,0.092,0.891
96,0,1,1,0,ok,63,,,121,,,311,,,495,,,1,230,857,94,863,0.063,,,0.121,,,0.311,,,0.495,,,0.001,0.23,0.857,0.094,0.863
97,0,1,1,0,ok,64,,,123,,,321,,,346,,,14,240,876,94,888,0.064,,,0.123,,,0.321,,,0.346,,,0.014,0.24,0.876,0.094,0.888
98,0,1,1,0,ok,57,,,109,,,322,,,491,,,5,254,793,96,804,0.057,,,0.109,,,0.322,,,0.491,,,0.005,0.254,0.793,0.096,0.804
99,0,1,1,0,ok,54,,,116,,,317,,,482,,,5,261,824,99,829,0.054,,,0.116,,,0.317,,,0.482,,,0.005,0.261,0.824,0.099,0.829
100,0,1,1,0,ok,58,,,121,,,322,,,266,,,6,266,818,104,822,0.058,,,0.121,,,0.322,,,0.266,,,0.006,0.266,0.818,0.104,0.822
101,0,1,1,0,ok,17,,,70,,,221,,,287,,,5,165,709,90,762,0.017,,,0.07,,,0.221,,,0.287,,,0.005,0.165,0.709,0.09,0.762
102,0,1,1,0,ok,34,,,101,,,262,,,315,,,2,173,681,86,696,0.034,,,0.101,,,0.262,,,0.315,,,0.002,0.173,0.681,0.086,0.696
103,0,1,1,0,ok,24,,,83,,,290,,,283,,,5,173,614,88,624,0.024,,,0.083,,,0.29,,,0.283,,,0.005,0.173,0.614,0.088,0.624
104,0,1,1,0,ok,24,,,82,,,284,,,310,,,9,201,763,83,772,0.024,,,0.082,,,0.284,,,0.31,,,0.009,0.201,0.763,0.083,0.772
105,0,1,1,0,ok,39,,,98,,,252,,,304,,,5,223,720,86,724,0.039,,,0.098,,,0.252,,,0.304,,,0.005,0.223,0.72,0.086,0.724
106,0,1,1,0,ok,43,,,93,,,317,,,341,,,9,222,771,88,794,0.043,,,0.093,,,0.317,,,0.341,,,0.009,0.222,0.771,0.088,0.794
107,0,1,1,0,ok,38,,,112,,,281,,,335,,,5,222,762,83,778,0.038,,,0.112,,,0.281,,,0.335,,,0.005,0.222,0.762,0.083,0.778
