SegmentIndex,ECG_R_Peak_1Based,PPG_Systolic_Peak_1Based
17,9443,6571
17,9689,6812
17,9938,7055
17,10031,7308
17,10069,7539
17,10178,7786
17,10244,8042
17,10270,8294
17,10418,8556
17,10488,8804
17,10654,9062
17,10720,9310
17,11127,9565
17,11359,9803
17,13598,10041
17,14598,10281
17,14763,10527
17,14982,10758
17,15039,10895
17,15286,11205
17,,11446
17,,11674
17,,11915
17,,12148
17,,12407
17,,12630
17,,12876
17,,13106
17,,13340
17,,13560
17,,13786
17,,14006
17,,14234
17,,14467
17,,14704
17,,14927
17,,15156
18,160,22
18,409,271
18,687,498
18,869,731
18,935,964
18,1113,1220
18,1234,1461
18,1409,1704
18,1870,1935
18,8508,2161
18,8793,2410
18,,2675
18,,3125
18,,3389
18,,3860
18,,4087
18,,4303
18,,4517
18,,4739
18,,4974
18,,5202
18,,5441
18,,5681
18,,5924
18,,6157
18,,6369
18,,6593
18,,6849
18,,7057
18,,7281
18,,7507
18,,7725
18,,7940
18,,8176
18,,8392
18,,8595
18,,8881
18,,9045
18,,9265
18,,9474
18,,9691
18,,9899
18,,10116
18,,10340
18,,10545
18,,10795
18,,11110
18,,11225
18,,11466
18,,11681
18,,11890
18,,12112
18,,12340
18,,12547
18,,12786
18,,13051
18,,13442
18,,13664
18,,13881
18,,14115
18,,14336
18,,14563
18,,14789
18,,15015
18,,15248
19,16,135
19,252,365
19,487,627
19,714,833
19,939,1057
19,1165,1293
19,1395,1516
19,1626,1751
19,1853,1971
19,2306,2194
19,2533,2424
19,2995,2654
19,3226,2884
19,3457,3112
19,3692,3344
19,3925,3577
19,4159,3813
19,4394,4048
19,4626,4278
19,4859,4509
19,5092,4744
19,5326,4981
19,5562,5204
19,5796,5447
19,6029,5681
19,6265,5914
19,6500,6147
19,6735,6381
19,6970,6616
19,7202,6852
19,7433,7089
19,7660,7319
19,7885,7550
19,8107,7777
19,8330,7999
19,8555,8218
19,8779,8438
19,8998,8669
19,9220,8898
19,9446,9114
19,9667,9333
19,9888,9564
19,10114,9786
19,10343,10006
19,10576,10231
19,10812,10462
19,11049,10691
19,11282,10931
19,11509,11166
19,11735,11400
19,11963,11623
19,12195,11852
19,12430,12083
19,12669,12313
19,12908,12547
19,13147,12788
19,13390,13028
19,13634,13266
19,13876,13509
19,14121,13756
19,14363,13990
19,15068,14237
19,15305,14478
19,,14719
19,,14948
19,,15183
20,182,62
20,421,295
20,665,537
20,913,781
20,1157,1028
20,1401,1274
20,1644,1519
20,1883,1758
20,2115,1997
20,2351,2232
20,2591,2469
20,2831,2710
20,3072,2949
20,3313,3189
20,3556,3436
20,3799,3674
20,4046,3921
20,4292,4165
20,4534,4411
20,4774,4653
20,5018,4894
20,5261,5138
20,5505,5378
20,5748,5625
20,5993,5861
20,6242,6107
20,6490,6362
20,6737,6609
20,6983,6856
20,7230,7100
20,7478,7347
20,7721,7597
20,7957,7833
20,8195,8073
20,8435,8313
20,8675,8554
20,8916,8793
20,9159,9032
20,9404,9276
20,9652,9518
20,9897,9768
20,10141,10011
20,10377,10257
20,10612,10492
20,10859,10727
20,11106,10971
20,11359,11226
20,11612,11479
20,11865,11729
20,12118,11985
20,12369,12237
20,12623,12489
20,12877,12744
20,13130,12997
20,13382,13249
20,13634,13499
20,13887,13750
20,14142,14007
20,14397,14259
20,14651,14518
20,14905,14768
20,15160,15018
20,,15275
21,56,1.84467e+19
21,311,170
21,562,428
21,810,678
21,1053,925
21,1293,1167
21,1541,1410
21,1788,1656
21,2034,1902
21,2279,2152
21,2528,2394
21,2777,2643
21,3030,2895
21,3284,3145
21,3535,3400
21,3786,3648
21,4041,3901
21,4296,4157
21,4551,4412
21,4806,4668
21,5065,4929
21,5324,5184
21,5588,5442
21,5849,5708
21,6107,5970
21,6359,6228
21,6617,6479
21,6874,6735
21,7131,6995
21,7377,7249
21,7617,7492
21,7870,7735
21,8121,7986
21,8377,8237
21,8635,8493
21,8891,8752
21,9147,9011
21,9403,9264
21,9658,9522
21,9916,9777
21,10172,10031
21,10429,10287
21,10686,10547
21,10942,10800
21,11203,11058
21,11464,11320
21,11725,11582
21,11982,11844
21,12235,12097
21,12491,12350
21,12748,12608
21,13004,12861
21,13258,13119
21,13511,13374
21,13769,13633
21,14025,13888
21,14281,14141
21,14539,14398
21,14796,14658
21,15051,14918
21,15306,15171
22,200,64
22,456,317
22,711,573
22,965,831
22,1217,1085
22,1473,1333
22,1730,1593
22,1982,1846
22,2235,2099
22,2489,2356
22,2744,2606
22,2999,2860
22,3251,3112
22,3504,3365
22,3752,3622
22,3991,3869
22,4224,4105
22,4461,4342
22,4700,4573
22,4943,4816
22,5188,5058
22,5435,5305
22,5681,5551
22,5931,5795
22,6182,6048
22,6434,6296
22,6687,6545
22,6937,6798
22,7186,7051
22,7432,7302
22,7681,7555
22,7928,7795
22,8173,8041
22,8418,8282
22,8666,8535
22,8913,8785
22,9159,9028
22,9407,9282
22,9656,9530
22,9905,9776
22,10156,10023
22,10326,10278
22,10647,10762
22,10891,11008
22,11130,11228
22,11369,11481
22,11611,11722
22,11856,11982
22,12099,12214
22,12337,12459
22,12573,12690
22,12816,12934
22,13061,13176
22,13308,13425
22,13562,13680
22,13815,13934
22,14066,14184
22,14309,14428
22,14548,14663
22,14786,14905
22,15030,15146
22,15273,15359
23,158,30
23,401,273
23,644,516
23,819,764
23,1128,1243
23,1372,1490
23,1850,1966
23,2083,2200
23,2310,2430
23,2541,2659
23,2771,2892
23,3005,3128
23,3239,3360
23,3477,3593
23,3720,3843
23,3963,4080
23,4208,4329
23,4456,4574
23,4704,4824
23,4951,5068
23,5195,5316
23,5431,5549
23,5668,5786
23,5907,6019
23,6145,6266
23,6384,6504
23,6626,6741
23,6869,6989
23,7109,7228
23,7349,7467
23,7591,7707
23,7834,7948
23,8078,8194
23,8320,8435
23,8564,8680
23,8809,8927
23,9055,9169
23,9300,9415
23,9545,9663
23,9790,9911
23,10032,10151
23,10268,10388
23,10497,10612
23,10733,10851
23,10969,11088
23,11206,11325
23,11449,11567
23,11696,11816
23,11946,12062
23,12196,12316
23,12447,12567
23,12701,12820
23,12957,13080
23,13210,13327
23,13464,13587
23,13716,13833
23,13969,14085
23,14220,14339
23,14472,14593
23,14724,14842
23,14978,15092
23,15229,15346
24,122,1.84467e+19
24,375,238
24,630,492
24,885,748
24,1142,1001
24,1397,1260
24,1652,1512
24,1912,1770
24,2170,2029
24,2429,2287
24,2689,2545
24,2950,2805
24,3215,3072
24,3480,3337
24,3746,3601
24,4013,3865
24,4281,4132
24,4555,4402
24,4829,4675
24,5099,4950
24,5365,5221
24,5630,5485
24,5899,5754
24,6165,6023
24,6428,6285
24,6687,6549
24,6949,6806
24,7209,7071
24,7470,7326
24,7728,7589
24,7985,7846
24,8246,8106
24,8507,8364
24,8770,8626
24,9032,8888
24,9293,9151
24,9553,9410
24,9815,9670
24,10076,9933
24,10337,10191
24,10597,10456
24,10857,10714
24,11113,10973
24,11371,11232
24,11629,11488
24,11889,11745
24,12149,12008
24,12408,12268
24,12665,12530
24,12925,12787
24,13186,13046
24,13447,13305
24,13710,13570
24,13971,13828
24,14237,14092
24,14505,14358
24,14772,14627
24,15039,14890
24,15305,15157
25,211,67
25,476,332
25,742,596
25,1004,858
25,1254,1126
25,1498,1374
25,1747,1617
25,2000,1864
25,2247,2117
25,2500,2367
25,2754,2618
25,3008,2872
25,3261,3121
25,3512,3374
25,3762,3626
25,4013,3877
25,4263,4132
25,4511,4380
25,4760,4631
25,5006,4874
25,5252,5116
25,5499,5366
25,5746,5618
25,5994,5869
25,6236,6109
25,6471,6354
25,6712,6586
25,6956,6827
25,7197,7070
25,7444,7319
25,7694,7563
25,7944,7814
25,8198,8067
25,8452,8316
25,8705,8569
25,8958,8821
25,9210,9077
25,9462,9330
25,9716,9579
25,9970,9831
25,10221,10090
25,10474,10339
25,10726,10593
25,10980,10849
25,11234,11098
25,11489,11351
25,11739,11605
25,11993,11856
25,12246,12110
25,12495,12363
