beat,ecg1_x,ecg1_y,ecg2_x,ecg2_y,ecg3_x,ecg3_y,ppg_x,ppg_y,abp_x,abp_y,art_x,art_y,art_pulm_x,art_pulm_y,accel_x,accel_y,blanking_ecg1,threshold_ecg1,blanking_ecg2,threshold_ecg2,blanking_ecg3,threshold_ecg3,blanking_ppg,threshold_ppg,blanking_abp,threshold_abp,blanking_art,threshold_art,blanking_art_pulm,threshold_art_pulm,blanking_accel,threshold_accel,marked_ecg1,marked_ecg2,marked_ecg3,marked_ppg,marked_abp,marked_art,marked_art_pulm,marked_accel,post_ecg1,post_ecg2,post_ecg3,post_ppg,post_abp,post_art,post_art_pulm,post_accel,inverted_ecg1,inverted_ecg2,inverted_ecg3,inverted_ppg,inverted_abp,inverted_art,inverted_art_pulm,inverted_accel
23,20.156250,0.432364,0.000000,0.000000,0.000000,0.000000,13.425781,0.000076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,20.773438,1.257267,0.000000,0.000000,0.000000,0.000000,14.105469,0.007095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,21.640625,1.306401,0.000000,0.000000,0.000000,0.000000,14.312500,-0.012131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,22.511719,1.229953,0.000000,0.000000,0.000000,0.000000,15.007812,0.008927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23.390625,1.366369,0.000000,0.000000,0.000000,0.000000,15.917969,0.012284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24.281250,1.359655,0.000000,0.000000,0.000000,0.000000,16.812500,0.009995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,25.152344,1.356909,0.000000,0.000000,0.000000,0.000000,17.679688,0.008316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,25.425781,0.448081,0.000000,0.000000,0.000000,0.000000,18.484375,0.005570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,26.015625,1.346532,0.000000,0.000000,0.000000,0.000000,18.695312,-0.006180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,26.292969,0.448081,0.000000,0.000000,0.000000,0.000000,19.425781,0.017472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,26.894531,1.337987,0.000000,0.000000,0.000000,0.000000,20.304688,0.021897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,27.769531,1.367437,0.000000,0.000000,0.000000,0.000000,20.507812,-0.012894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,28.039062,0.423056,0.000000,0.000000,0.000000,0.000000,21.199219,0.019760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,28.648438,1.307469,0.000000,0.000000,0.000000,0.000000,21.468750,-0.024033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,29.511719,1.321202,0.000000,0.000000,0.000000,0.000000,22.078125,0.020676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,29.789062,0.426413,0.000000,0.000000,0.000000,0.000000,22.937500,0.024186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.812500,0.019913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.031250,-0.017472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.742188,0.020829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.554688,0.012284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.417969,0.018082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.687500,-0.024338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.277344,0.011826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.160156,0.005875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.082031,0.001755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.867188,-0.007401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,200.000000,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
