# UPSAMPLED
time_s,ecg1,ecg2,ecg3,ppg,abp,accelx,accely,accelz,resp,cvp
0.102000,8189,8213,8215,2267.75,-1,1.112613e-306,2.8227574e-307,9.1674882e+102,982.875,1.1654882e-311
0.103000,8187.5,8207.5,8211,2265.875,0,2.4403285e-312,0,9.776571e-320,982.6875,0
0.104000,8186,8202,8207,2264,0,0,0,0,982.5,0
0.105000,8184.5,8197.5,8204,2261.875,-1.2986096e-231,-3.8033311e-270,-3.8282861e-270,-1.6458242e-260,982.3125,-3.8541654e-270
0.106000,8183,8193,8201,2259.75,4.9406565e-324,4.9406565e-324,2.1219958e-314,4.4506612e-308,982.125,2.1219958e-314
0.107000,8182.5,8189.5,8198,2257.625,7.2636753,4.9406565e-324,1.1654884e-311,1.379613e-306,981.9375,1.1654882e-311
0.108000,8182,8186,8195,2255.5,1.3354594e-320,6.3240403e-322,0,2.2252287e-306,981.75,0
0.109000,8182,8184,8193,2253.375,1.1654884e-311,2.0317034e-255,0,9.3460096e-307,981.5625,0
0.110000,8182,8182,8191,2251.25,0,1.1654884e-311,0,3.7560283e-317,981.375,0
0.111000,8181.5,8180.5,8190,2249.125,-3.817195e-270,-1.6339152e-260,-5.5963972e-222,-3.8329074e-270,981.1875,-3.8550896e-270
0.112000,8181,8179,8189,2247,1.7802058e-306,1.1126103e-306,1.3796232e-306,4.9406565e-324,981,2.1219958e-314
0.113000,8181,8178,8188,2244.75,4.0053604e-307,2.1138745e-307,9.3460504e-307,4.9406565e-324,980.875,1.1652404e-311
0.114000,8181,8177,8187,2242.5,1.3350939e-306,1.7802153e-306,2.1138745e-307,6.3240403e-322,980.75,1.1654882e-311
0.115000,8180,8176,8187,2240.25,7.5659234e-307,1.3351156e-306,2.5903679e-317,2.0317034e-255,980.625,0
0.116000,8179,8175,8187,2238,2.4191111e-312,3.7236522e-317,0,1.1654884e-311,980.5,0
0.117000,8180,8174,8185,2235.75,-1.2992386e-231,-3.0147739e-241,-1.3033273e-231,-1.3045853e-231,980.375,-1.3121335e-231
0.118000,8181,8173,8183,2233.5,1.1992799e+151,4.2278678e-307,9.5217163e+150,4.9406565e-324,980.25,4.9406565e-324
0.119000,8180.5,8172.5,8183,2231.25,2.3065041e+59,2.3363819e-307,5.1675206e+25,7.2636753,980.125,6.9533049e-310
0.120000,8180,8172,8183,2229,1.4922761e+11,1.2461099e-306,1.1295411e-307,1.3507755e-320,980,6.9533049e-310
0.121000,8179.5,8171.5,8183,2226.625,3.9525252e-322,8.9009813e-307,0,1.1654885e-311,979.875,0
0.122000,8179,8171,8183,2224.25,0,0,0,0,979.75,0
0.123000,8179,8170,8182,2221.875,-1.2995532e-231,-1.29515e-231,-1.3036418e-231,-5.604502e-222,979.625,-3.8569381e-270
0.124000,8179,8169,8181,2219.5,4.4504321e-308,4.2278678e-307,1.1992799e+151,4.4504321e-308,979.5,4.9406565e-324
0.125000,8178.5,8168.5,8181,2217.125,1.7801908e-306,2.2251282e-307,2.3065041e+59,1.6022107e-306,979.375,4.9406565e-324
0.126000,8178,8168,8181,2214.75,2.7813966e-307,1.6911933e-306,9.1674882e+102,1.780218e-306,979.25,6.3240403e-322
0.127000,8178,8167,8180,2212.375,2.3554484e-312,2.1220285e-312,9.776571e-320,3.7236448e-317,979.125,2.0317034e-255
0.128000,8178,8166,8179,2210,0,0,0,0,979,1.1652409e-311
0.129000,8178,8165,8178,2207.5,-1.2998677e-231,-1.2954645e-231,-1.6458242e-260,-3.8356802e-270,978.9375,-3.8578624e-270
0.130000,8178,8164,8177,2205,4.9406565e-324,4.9406565e-324,4.4506612e-308,4.9406565e-324,978.875,2.1219958e-314
0.131000,8177.5,8163.5,8177,2202.5,6.9515141e-310,9.8813129e-324,1.379613e-306,8.1026766e-322,978.8125,0
0.132000,8177,8163,8177,2200,6.9515141e-310,1.1654914e-311,2.2252287e-306,2.5296161e-321,978.75,1.1654885e-311
0.133000,8176,8163,8178,2197.5,0,1.1654907e-311,9.3460096e-307,2.0317034e-255,978.6875,0
0.134000,8175,8163,8179,2195,0,0,3.7560283e-317,1.1652473e-311,978.625,0
0.135000,8175.5,8162.5,8178,2192.5,-1.3001822e-231,-1.295779e-231,-3.8329074e-270,-1.0343465e-202,978.5625,-1.3130771e-231
0.136000,8176,8162,8177,2190,1.1992799e+151,4.9406565e-324,4.9406565e-324,4.9406565e-324,978.5,4.9406565e-324
0.137000,8176,8162,8177,2187.25,1.1989671e+16,1.9762626e-323,4.9406565e-324,1.9762626e-323,978.4375,1.9762626e-323
0.138000,8176,8162,8177,2184.5,1.1316405e+45,1.4091379e-315,6.3240403e-322,9.4571666e-308,978.375,9.8813129e-324
0.139000,8176.5,8161.5,8176,2181.75,3.6066792e-322,0,2.0317034e-255,0,978.3125,1.1651907e-311
0.140000,8177,8161,8175,2179,0,0,1.1654884e-311,0,978.25,0
0.141000,8176.5,8160.5,8175,2176.25,-1.3004967e-231,-3.017703e-241,-1.3045853e-231,-1.3058433e-231,978.1875,-4.346033e-310
