sample_index,ch1_raw,ch1_squared,ch1_absval,ch1_unfiltered,ch2_raw,ch2_squared,ch2_absval,ch2_unfiltered,ch3_raw,ch3_squared,ch3_absval,ch3_unfiltered,ppg
n_contributing,120,120,120,120,0,0,0,0,0,0,0,0,120
824,-0.143411194,0.0498245931,0.114955087,-0.143411194,,,,,,,,,-0.0876178631
825,-0.144756183,0.0505510511,0.116194105,-0.144756183,,,,,,,,,-0.0876502423
826,-0.147687021,0.0516274077,0.116321844,-0.147687021,,,,,,,,,-0.0877057643
827,-0.148527439,0.0531436223,0.118409558,-0.148527439,,,,,,,,,-0.0879788385
828,-0.148197338,0.0525167083,0.118042888,-0.148197338,,,,,,,,,-0.0877301052
829,-0.14872046,0.0500257035,0.117479137,-0.14872046,,,,,,,,,-0.0880276463
830,-0.148339027,0.0482356578,0.119763341,-0.148339027,,,,,,,,,-0.0878184151
831,-0.148394265,0.0480677167,0.121560517,-0.148394265,,,,,,,,,-0.0876440712
832,-0.149102364,0.0486209177,0.121560938,-0.149102364,,,,,,,,,-0.0873119508
833,-0.150876295,0.0475754533,0.121868596,-0.150876295,,,,,,,,,-0.0878465385
834,-0.152579088,0.0494466825,0.122633825,-0.152579088,,,,,,,,,-0.0879733039
835,-0.154660821,0.0497325646,0.123835247,-0.154660821,,,,,,,,,-0.0880495802
836,-0.155375243,0.0521765408,0.124671737,-0.155375243,,,,,,,,,-0.0879661897
837,-0.154403998,0.0552554972,0.125645407,-0.154403998,,,,,,,,,-0.0880128879
838,-0.152326644,0.0561575937,0.126481618,-0.152326644,,,,,,,,,-0.0870305436
839,-0.152183456,0.0572794262,0.127696496,-0.152183456,,,,,,,,,-0.0867147103
840,-0.151948703,0.0605021623,0.129552409,-0.151948703,,,,,,,,,-0.0872588783
841,-0.15034624,0.0629350295,0.127477798,-0.15034624,,,,,,,,,-0.0861601469
842,-0.149064213,0.0650369734,0.129433278,-0.149064213,,,,,,,,,-0.085970091
843,-0.151023166,0.067374578,0.130542359,-0.151023166,,,,,,,,,-0.0858563447
844,-0.151382047,0.0683214555,0.129142089,-0.151382047,,,,,,,,,-0.0858402616
845,-0.153151373,0.0670756186,0.127956873,-0.153151373,,,,,,,,,-0.0862585206
846,-0.152759948,0.0678364749,0.127807134,-0.152759948,,,,,,,,,-0.0864633498
847,-0.152805266,0.0682991132,0.129205229,-0.152805266,,,,,,,,,-0.0865825923
848,-0.153465407,0.0692847768,0.129495475,-0.153465407,,,,,,,,,-0.0864471157
849,-0.153622452,0.0702676154,0.12938075,-0.153622452,,,,,,,,,-0.086457606
850,-0.152962839,0.0706530394,0.129993703,-0.152962839,,,,,,,,,-0.0862968637
851,-0.152041058,0.0690282167,0.131123962,-0.152041058,,,,,,,,,-0.0870659007
852,-0.151317909,0.0698619408,0.131790922,-0.151317909,,,,,,,,,-0.0871015941
853,-0.150316903,0.0711519823,0.133224608,-0.150316903,,,,,,,,,-0.0869394791
854,-0.150212083,0.0695758768,0.134805745,-0.150212083,,,,,,,,,-0.0871815126
855,-0.15042683,0.0695128107,0.136116534,-0.15042683,,,,,,,,,-0.0863631543
856,-0.150563349,0.069360866,0.13661902,-0.150563349,,,,,,,,,-0.0859908513
857,-0.150245554,0.0680758463,0.137080362,-0.150245554,,,,,,,,,-0.0856678712
858,-0.150190153,0.0668766856,0.137590088,-0.150190153,,,,,,,,,-0.0857444898
859,-0.153235853,0.0658061511,0.140385923,-0.153235853,,,,,,,,,-0.0854521877
860,-0.155879731,0.0648641668,0.14114644,-0.155879731,,,,,,,,,-0.08359187
861,-0.158208145,0.0637868575,0.140686503,-0.158208145,,,,,,,,,-0.083370407
862,-0.159112549,0.0616063049,0.141102881,-0.159112549,,,,,,,,,-0.0832189897
863,-0.160070492,0.0603221352,0.141151021,-0.160070492,,,,,,,,,-0.0828833775
864,-0.161217196,0.0587871078,0.140604968,-0.161217196,,,,,,,,,-0.082633937
865,-0.161987691,0.0580597812,0.141478353,-0.161987691,,,,,,,,,-0.0805573969
866,-0.162377517,0.058557266,0.14142295,-0.162377517,,,,,,,,,-0.0798541509
867,-0.162024009,0.0600934741,0.140861664,-0.162024009,,,,,,,,,-0.0804933843
868,-0.160303377,0.060534056,0.141000913,-0.160303377,,,,,,,,,-0.0793997389
869,-0.157626846,0.0626852438,0.141843783,-0.157626846,,,,,,,,,-0.0786810128
870,-0.156872115,0.0636577408,0.141609667,-0.156872115,,,,,,,,,-0.0793734411
871,-0.156248383,0.0641598479,0.14334626,-0.156248383,,,,,,,,,-0.0779432445
872,-0.159632852,0.0613391851,0.144394693,-0.159632852,,,,,,,,,-0.0773700297
873,-0.157841926,0.0628595273,0.145402561,-0.157841926,,,,,,,,,-0.0777968218
874,-0.159462041,0.0638746298,0.146144123,-0.159462041,,,,,,,,,-0.0777380899
875,-0.158134156,0.0648112452,0.14690725,-0.158134156,,,,,,,,,-0.0775551251
876,-0.156517228,0.0631551826,0.148328566,-0.156517228,,,,,,,,,-0.0783363518
877,-0.152434782,0.0643265058,0.149825651,-0.152434782,,,,,,,,,-0.0782740174
878,-0.147964842,0.0661974024,0.150593906,-0.147964842,,,,,,,,,-0.0782468128
879,-0.146361719,0.0662090285,0.151348706,-0.146361719,,,,,,,,,-0.0775583548
880,-0.144621063,0.0690565054,0.153006052,-0.144621063,,,,,,,,,-0.077041014
881,-0.141813511,0.0723664358,0.15535738,-0.141813511,,,,,,,,,-0.0776205992
882,-0.138102613,0.0739831742,0.15757423,-0.138102613,,,,,,,,,-0.0779145326
883,-0.136766086,0.0781414293,0.158658276,-0.136766086,,,,,,,,,-0.0804762037
884,-0.133209769,0.0824076783,0.159758028,-0.133209769,,,,,,,,,-0.0801212507
885,-0.128465411,0.0880481494,0.163652214,-0.128465411,,,,,,,,,-0.0803203408
886,-0.126023509,0.0926989894,0.169159467,-0.126023509,,,,,,,,,-0.0798704235
887,-0.121435452,0.0977677634,0.174579168,-0.121435452,,,,,,,,,-0.0783531649
888,-0.117214604,0.102637745,0.179272902,-0.117214604,,,,,,,,,-0.0778132271
889,-0.113939604,0.104831683,0.181186452,-0.113939604,,,,,,,,,-0.0773869116
890,-0.112444623,0.108129034,0.182883319,-0.112444623,,,,,,,,,-0.0776667833
891,-0.108266329,0.11113539,0.185163171,-0.108266329,,,,,,,,,-0.0775658603
892,-0.10660196,0.119011115,0.186209091,-0.10660196,,,,,,,,,-0.0758826199
893,-0.10658873,0.125991146,0.18747822,-0.10658873,,,,,,,,,-0.0736123481
894,-0.105484618,0.131509246,0.188927883,-0.105484618,,,,,,,,,-0.0735956338
895,-0.102096565,0.137093238,0.192447701,-0.102096565,,,,,,,,,-0.0744739503
896,-0.100347979,0.138609933,0.194417748,-0.100347979,,,,,,,,,-0.0748140063
897,-0.0993778305,0.13981375,0.19627654,-0.0993778305,,,,,,,,,-0.073866309
898,-0.100675932,0.146915996,0.197549516,-0.100675932,,,,,,,,,-0.0723847285
899,-0.0978287911,0.149600819,0.20071247,-0.0978287911,,,,,,,,,-0.0716366915
900,-0.0983044606,0.143226341,0.200212298,-0.0983044606,,,,,,,,,-0.0731724503
901,-0.0980396461,0.147722091,0.202357965,-0.0980396461,,,,,,,,,-0.0716746643
902,-0.0973639548,0.148568889,0.204872862,-0.0973639548,,,,,,,,,-0.0701876549
903,-0.0966454911,0.151291957,0.20398319,-0.0966454911,,,,,,,,,-0.0697304429
904,-0.0917562302,0.154526725,0.206314515,-0.0917562302,,,,,,,,,-0.0699103038
905,-0.0869035499,0.154622699,0.208189519,-0.0869035499,,,,,,,,,-0.0696401974
906,-0.0871121335,0.153568188,0.20672939,-0.0871121335,,,,,,,,,-0.0690714084
907,-0.0870874486,0.158896584,0.207266983,-0.0870874486,,,,,,,,,-0.0706336366
908,-0.0891215706,0.162151498,0.208492903,-0.0891215706,,,,,,,,,-0.0703627535
909,-0.090435471,0.162716438,0.210755965,-0.090435471,,,,,,,,,-0.0707417498
910,-0.0916354611,0.157063009,0.211295683,-0.0916354611,,,,,,,,,-0.0710484459
911,-0.093419535,0.156623109,0.211607426,-0.093419535,,,,,,,,,-0.0702739139
912,-0.0956968173,0.157476464,0.213340423,-0.0956968173,,,,,,,,,-0.0702312832
913,-0.0974306066,0.158143522,0.212123397,-0.0974306066,,,,,,,,,-0.0689297883
914,-0.0955877091,0.180722854,0.213023174,-0.0955877091,,,,,,,,,-0.0705736911
915,-0.0952659945,0.179339738,0.215845248,-0.0952659945,,,,,,,,,-0.0689409979
916,-0.0955522198,0.176984338,0.217907486,-0.0955522198,,,,,,,,,-0.0706418581
917,-0.0929607582,0.173525627,0.21779506,-0.0929607582,,,,,,,,,-0.0708015148
918,-0.092799754,0.17255241,0.21791443,-0.092799754,,,,,,,,,-0.0713422178
919,-0.0896392882,0.174904432,0.220009528,-0.0896392882,,,,,,,,,-0.067864671
920,-0.0887006613,0.175676136,0.221423152,-0.0887006613,,,,,,,,,-0.0657335859
921,-0.0820449337,0.176819881,0.224505687,-0.0820449337,,,,,,,,,-0.065024633
922,-0.0805392335,0.180758261,0.228556702,-0.0805392335,,,,,,,,,-0.0622116845
923,-0.0782856524,0.112965498,0.228030385,-0.0782856524,,,,,,,,,-0.0614964914
924,-0.0759328091,0.11220999,0.22917877,-0.0759328091,,,,,,,,,-0.0660977463
925,-0.0761215002,0.113457273,0.229729986,-0.0761215002,,,,,,,,,-0.0655520559
926,-0.0778213022,0.116870114,0.234138372,-0.0778213022,,,,,,,,,-0.0653213354
